Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,180.514,180.514,screen dark,0.0755090062
0,4.301,4.301,wifi scan,0.0017991082999999999
4.301,180.514,176.21300000000002,wifi running,0.0737098979

