app,number_of_participants,camera,microphone,duration_in_minutes,joules
Meet,2,True,True,3.0,1047.4488
Meet,2,True,True,3.0,1053.5832
Meet,2,True,True,3.0,1067.3855999999998
Meet,2,True,True,3.0,1058.184
Meet,2,True,True,3.0,1062.7848
Meet,2,True,True,3.0,1071.9864
Meet,2,True,True,3.0,1070.4528
Meet,2,True,True,3.0,1065.852
Meet,2,True,True,3.0,1058.184
Meet,2,True,True,3.0,1085.7888
Meet,2,True,True,3.0,1067.3855999999998
Meet,2,True,True,3.0,1071.9864
Meet,2,True,True,3.0,1042.848
Meet,2,True,True,3.0,1056.6504
Meet,2,True,True,3.0,1056.6504
Meet,2,True,True,3.0,1045.9152000000001
Meet,2,True,True,3.0,1045.9152000000001
Meet,2,True,True,3.0,1045.9152000000001
Meet,2,True,True,3.0,1104.192
Meet,2,True,True,3.0,1076.5872
Meet,2,True,False,3.0,1005.3018000000001
Meet,2,True,False,3.0,982.48644
Meet,2,True,False,3.0,1013.8575599999999
Meet,2,True,False,3.0,1008.1537200000001
Meet,2,True,False,3.0,1001.0239200000001
Meet,2,True,False,3.0,1002.44988
Meet,2,True,False,3.0,1026.6912
Meet,2,True,False,3.0,985.33836
Meet,2,True,False,3.0,973.93068
Meet,2,True,False,3.0,976.7825999999999
Meet,2,True,False,3.0,975.3566400000001
Meet,2,True,False,3.0,991.0422000000001
Meet,2,True,False,3.0,979.63452
Meet,2,True,False,3.0,1028.1171599999998
Meet,2,True,False,3.0,1013.8575599999999
Meet,2,True,False,3.0,1006.7277599999999
Meet,2,True,False,3.0,1006.7277599999999
Meet,2,True,False,3.0,1018.1354400000001
Meet,2,True,False,3.0,1020.9873599999999
Meet,2,True,False,3.0,1025.2652400000002
Meet,2,False,False,3.0,400.08672
Meet,2,False,False,3.0,387.75528
Meet,2,False,False,3.0,360.35208
Meet,2,False,False,3.0,354.87143999999995
Meet,2,False,False,3.0,360.35208
Meet,2,False,False,3.0,369.94320000000005
Meet,2,False,False,3.0,357.61176000000006
Meet,2,False,False,3.0,356.2416
Meet,2,False,False,3.0,358.98191999999995
Meet,2,False,False,3.0,390.49559999999997
Meet,2,False,False,3.0,397.3464
Meet,2,False,False,3.0,408.30768
Meet,2,False,False,3.0,367.20288
Meet,2,False,False,3.0,405.56736000000006
Meet,2,False,False,3.0,427.48992
Meet,2,False,False,3.0,379.53432
Meet,2,False,False,3.0,376.794
Meet,2,False,False,3.0,391.86576
Meet,2,False,False,3.0,365.83272
Meet,2,False,False,3.0,380.90448000000004
Meet,2,False,True,3.0,372.5658
Meet,2,False,True,3.0,383.8986
Meet,2,False,True,3.0,368.316
Meet,2,False,True,3.0,368.316
Meet,2,False,True,3.0,385.3152
Meet,2,False,True,3.0,388.1484
Meet,2,False,True,3.0,379.6488
Meet,2,False,True,3.0,376.8156
Meet,2,False,True,3.0,369.7326
Meet,2,False,True,3.0,369.7326
Meet,2,False,True,3.0,366.89939999999996
Meet,2,False,True,3.0,371.14919999999995
Meet,2,False,True,3.0,373.98240000000004
Meet,2,False,True,3.0,369.7326
Meet,2,False,True,3.0,371.14919999999995
Meet,2,False,True,3.0,369.7326
Meet,2,False,True,3.0,373.98240000000004
Meet,2,False,True,3.0,369.7326
Meet,2,False,True,3.0,393.8148
Meet,2,False,True,3.0,381.0654
Meet,5,True,True,3.0,1111.38372
Meet,5,True,True,3.0,1127.0772
Meet,5,True,True,3.0,1128.50388
Meet,5,True,True,3.0,1135.63728
Meet,5,True,True,3.0,1131.35724
Meet,5,True,True,3.0,1129.93056
Meet,5,True,True,3.0,1134.2106
Meet,5,True,True,3.0,1131.35724
Meet,5,True,True,3.0,1161.31752
Meet,5,True,True,3.0,1147.05072
Meet,5,True,True,3.0,1134.2106
Meet,5,True,True,3.0,1111.38372
Meet,5,True,True,3.0,1125.6505200000001
Meet,5,True,True,3.0,1131.35724
Meet,5,True,True,3.0,1137.0639600000002
Meet,5,True,True,3.0,1134.2106
Meet,5,True,True,3.0,1127.0772
Meet,5,True,True,3.0,1131.35724
Meet,5,True,True,3.0,1142.77068
Meet,5,True,True,3.0,1145.62404
Meet,5,True,False,3.0,1094.3999999999999
Meet,5,True,False,3.0,1087.56
Meet,5,True,False,3.0,1101.24
Meet,5,True,False,3.0,1086.192
Meet,5,True,False,3.0,1095.768
Meet,5,True,False,3.0,1080.72
Meet,5,True,False,3.0,1087.56
Meet,5,True,False,3.0,1083.4560000000001
Meet,5,True,False,3.0,1087.56
Meet,5,True,False,3.0,1086.192
Meet,5,True,False,3.0,1080.72
Meet,5,True,False,3.0,1079.3519999999999
Meet,5,True,False,3.0,1086.192
Meet,5,True,False,3.0,1084.824
Meet,5,True,False,3.0,1088.928
Meet,5,True,False,3.0,1090.296
Meet,5,True,False,3.0,1097.136
Meet,5,True,False,3.0,1095.768
Meet,5,True,False,3.0,1093.032
Meet,5,True,False,3.0,1083.4560000000001
Meet,5,False,True,3.0,508.66200000000003
Meet,5,False,True,3.0,492.03
Meet,5,False,True,3.0,482.328
Meet,5,False,True,3.0,482.328
Meet,5,False,True,3.0,483.71400000000006
Meet,5,False,True,3.0,468.46799999999996
Meet,5,False,True,3.0,479.556
Meet,5,False,True,3.0,479.556
Meet,5,False,True,3.0,479.556
Meet,5,False,True,3.0,461.53799999999995
Meet,5,False,True,3.0,469.854
Meet,5,False,True,3.0,483.71400000000006
Meet,5,False,True,3.0,479.556
Meet,5,False,True,3.0,476.784
Meet,5,False,True,3.0,475.398
Meet,5,False,True,3.0,475.398
Meet,5,False,True,3.0,487.872
Meet,5,False,True,3.0,482.328
Meet,5,False,True,3.0,486.486
Meet,5,False,True,3.0,478.17
Meet,5,False,False,3.0,534.38616
Meet,5,False,False,3.0,531.3924
Meet,5,False,False,3.0,528.39864
Meet,5,False,False,3.0,529.89552
Meet,5,False,False,3.0,528.39864
Meet,5,False,False,3.0,517.9204800000001
Meet,5,False,False,3.0,549.35496
Meet,5,False,False,3.0,535.88304
Meet,5,False,False,3.0,532.8892800000001
Meet,5,False,False,3.0,526.9017600000001
Meet,5,False,False,3.0,531.3924
Meet,5,False,False,3.0,529.89552
Meet,5,False,False,3.0,528.39864
Meet,5,False,False,3.0,529.89552
Meet,5,False,False,3.0,535.88304
Meet,5,False,False,3.0,531.3924
Meet,5,False,False,3.0,528.39864
Meet,5,False,False,3.0,544.86432
Meet,5,False,False,3.0,526.9017600000001
Meet,5,False,False,3.0,538.8768
Zoom,2,True,True,3.0,1089.3571200000001
Zoom,2,True,True,3.0,1092.4344
Zoom,2,True,True,3.0,1087.81848
Zoom,2,True,True,3.0,1052.4297600000002
Zoom,2,True,True,3.0,1035.5047200000001
Zoom,2,True,True,3.0,1030.8888
Zoom,2,True,True,3.0,1035.5047200000001
Zoom,2,True,True,3.0,1043.19792
Zoom,2,True,True,3.0,1035.5047200000001
Zoom,2,True,True,3.0,1038.582
Zoom,2,True,True,3.0,1030.8888
Zoom,2,True,True,3.0,1038.582
Zoom,2,True,True,3.0,1029.3501600000002
Zoom,2,True,True,3.0,1049.35248
Zoom,2,True,True,3.0,1033.96608
Zoom,2,True,True,3.0,1043.19792
Zoom,2,True,True,3.0,1049.35248
Zoom,2,True,True,3.0,1046.2752
Zoom,2,True,True,3.0,1035.5047200000001
Zoom,2,True,True,3.0,1032.42744
Zoom,2,True,False,3.0,1012.2940800000001
Zoom,2,True,False,3.0,980.7537599999999
Zoom,2,True,False,3.0,1018.30176
Zoom,2,True,False,3.0,995.7729599999998
Zoom,2,True,False,3.0,1013.796
Zoom,2,True,False,3.0,1004.7844800000001
Zoom,2,True,False,3.0,1000.2787199999999
Zoom,2,True,False,3.0,1003.28256
Zoom,2,True,False,3.0,998.7768000000001
Zoom,2,True,False,3.0,1000.2787199999999
Zoom,2,True,False,3.0,1006.2864
Zoom,2,True,False,3.0,1003.28256
Zoom,2,True,False,3.0,1022.8075199999998
Zoom,2,True,False,3.0,1007.7883199999998
Zoom,2,True,False,3.0,1007.7883199999998
